Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
2018-06-01 00:00:00,816163,816460,815700,816460,9.13770211,7456345.925,815997.92105
2018-06-01 00:01:00,816460,816999,816438,816563,4.35982418,3560639.3212,816693.3285
2018-06-01 00:02:00,816910,817079,816741,817074,1.7017171000000002,1390244.5981,816965.75657
2018-06-01 00:03:00,817066,817541,816883,817462,3.54646403,2898950.5324,817419.9732199999
2018-06-01 00:04:00,817903,818000,817348,818000,9.82299963,8033058.42,817780.58868
2018-06-01 00:05:00,818000,818462,817836,818434,4.8932149,4003441.8007,818161.85934
2018-06-01 00:06:00,818544,818544,818434,818500,1.33235088,1090443.4042,818435.60924
2018-06-01 00:07:00,818437,818900,818372,818432,7.09307563,5805792.4288,818515.5117
2018-06-01 00:08:00,818232,820790,817438,819665,23.94528072,19631051.18,819829.65286
2018-06-01 00:09:00,819669,819669,817863,819296,6.4295052,5264810.1471,818851.52641
2018-06-01 00:10:00,819560,819820,818030,818030,11.1915761,9164028.4224,818832.69528
2018-06-01 00:11:00,818031,818983,817654,818073,13.21643689,10813115.298,818156.6172600001
2018-06-01 00:12:00,818434,818545,818043,818180,5.47117179,4477500.2683,818380.49327
2018-06-01 00:13:00,818075,818536,817732,818536,3.461206,2831709.0851,818127.86788
2018-06-01 00:14:00,818346,818346,817585,817669,1.0490026000000001,857920.99011,817844.484
2018-06-01 00:15:00,817669,818152,817447,817689,2.605,2130422.1783,817820.41395
2018-06-01 00:16:00,818117,818484,817861,817991,4.3654,3571067.1988,818038.94232
2018-06-01 00:17:00,817861,818089,817270,818089,9.59630982,7846433.3887,817651.1113
2018-06-01 00:18:00,818089,818536,818089,818267,4.81717394,3942431.5472,818411.70702
2018-06-01 00:19:00,818263,818815,817661,818258,6.72726577,5504319.9945,818210.5751
2018-06-01 00:20:00,818072,818225,817518,818225,3.90781211,3196073.6373,817867.7856899999
2018-06-01 00:21:00,818222,818225,817679,818001,7.8677,6435702.9520000005,817990.3849899999
2018-06-01 00:22:00,818001,819500,817976,819230,8.93627839,7314076.2343,818470.05153
2018-06-01 00:23:00,819050,819657,818250,819037,16.75785271,13722179.548,818850.7075100001
2018-06-01 00:24:00,819139,819179,818280,818786,2.98096172,2440636.1473,818741.1904399999
2018-06-01 00:25:00,818685,818776,817930,818769,6.47976028,5302637.2676,818338.49379
2018-06-01 00:26:00,818887,819336,818476,819336,7.53579433,6170412.4754,818813.81115
2018-06-01 00:27:00,819336,819357,818815,819079,6.16815146,5052087.9781,819060.29884
2018-06-01 00:28:00,819079,819298,818916,819003,4.121103,3375439.6614,819062.19316
2018-06-01 00:29:00,818922,819353,818922,819134,2.68953318,2203056.8478,819122.39053
2018-06-01 00:30:00,819043,819855,819043,819855,1.61904,1326686.4332,819427.82955
2018-06-01 00:31:00,819854,819854,818839,818839,3.0631235,2509336.89,819208.52686
2018-06-01 00:32:00,818800,819140,818157,819050,3.50240269,2867668.3166,818771.73197
2018-06-01 00:33:00,819043,819212,818734,818797,1.5125,1238801.012,819041.9914
2018-06-01 00:34:00,818800,818950,818282,818628,2.1812,1785322.4957,818504.7202
2018-06-01 00:35:00,818628,818797,818250,818797,4.24161669,3472052.5234,818568.1963300001
2018-06-01 00:36:00,818797,819133,818690,818964,1.207998,989130.3811299999,818817.89633
2018-06-01 00:37:00,818964,819288,818900,819287,0.8999,737020.8068,819003.00789
2018-06-01 00:38:00,819183,819400,819100,819205,4.9362482000000005,4043974.26,819240.46282
2018-06-01 00:39:00,819205,819336,818873,819177,4.61120026,3777627.784,819228.7411100001
2018-06-01 00:40:00,818855,819227,818607,819098,4.65449,3811324.1308,818848.9245399999
2018-06-01 00:41:00,819093,819235,818607,819227,3.70583328,3034693.1813,818896.30538
2018-06-01 00:42:00,819238,819253,818653,819096,5.07158628,4152828.5279,818842.1331399999
2018-06-01 00:43:00,819158,819171,818607,818812,5.88448497,4819596.1935,819034.4980199999
2018-06-01 00:44:00,819253,820000,819143,819199,8.926830699999998,7315917.3853,819542.5264699999
2018-06-01 00:45:00,819214,819438,818678,819436,3.0589999999999997,2506267.777,819309.50539
2018-06-01 00:46:00,819436,819476,819021,819244,1.9359646000000001,1586122.285,819293.02066
2018-06-01 00:47:00,819333,819337,818904,818914,0.2618,214449.4451,819134.62605
